输入,目标
"爱丽丝、鲍勃和克莱尔正在玩游戏。游戏开始时，他们每人拿着一个球：爱丽丝有一个黄色的球，鲍勃有一个橙色的球，克莱尔有一个白色的球。
随着比赛的进行，两对球员交换球。首先，克莱尔和爱丽丝交换球。然后，鲍勃和爱丽丝交换球。最后，鲍勃和克莱尔交换了球。游戏结束时，鲍勃得到了
选项：
（一）黄球
(B) 橙色球
（三）白球",(A)
"爱丽丝、鲍勃和克莱尔是广场舞的舞者。在歌曲开始时，他们每个人都有一个舞伴：爱丽丝与卡尔跳舞，鲍勃与罗德里戈跳舞，克莱尔与赫尔加跳舞。
在整首歌中，舞者经常交换舞伴。首先，鲍勃和爱丽丝交换伙伴。然后，爱丽丝和克莱尔交换了伙伴。最后，爱丽丝和鲍勃交换了伙伴。舞蹈结束时，爱丽丝与
选项：
（一）卡尔
(B) 罗德里戈
(C) 赫尔加",(A)
"爱丽丝、鲍勃和克莱尔正在举行一场白象礼物交换活动。活动开始时，他们每个人都拿着一份不同颜色的礼物：爱丽丝有一份红色礼物，鲍勃有一个黑球，克莱尔有一份白色礼物。
随着活动的进行，人们会交换礼物。首先，鲍勃和爱丽丝交换礼物。然后，克莱尔和鲍勃交换礼物。最后，爱丽丝和克莱尔交换了礼物。活动结束时，鲍勃获得了
选项：
(A) 红色礼物
(B) 黑球
(C) 白色礼物",(C)
"爱丽丝、鲍勃和克莱尔正在举行一场白象礼物交换活动。活动开始时，他们每个人都拿着一份不同颜色的礼物：爱丽丝有一个橙色的球，鲍勃有一个紫色的礼物，克莱尔有一个红色的礼物。
随着活动的进行，人们会交换礼物。首先，克莱尔和鲍勃交换礼物。然后，爱丽丝和鲍勃交换了他们的礼物。最后，克莱尔和爱丽丝交换了礼物。活动结束后，克莱尔获得了
选项：
（一）橙色球
(B) 紫色礼物
(C) 红色礼物",(C)
"爱丽丝、鲍勃和克莱尔正在玩游戏。游戏开始时，他们每人拿着一个球：爱丽丝有一个蓝球，鲍勃有一个红球，克莱尔有一个黄球。
随着比赛的进行，两对球员交换球。首先，克莱尔和鲍勃交换球。然后，克莱尔和爱丽丝交换球。最后，鲍勃和克莱尔交换了球。游戏结束后，克莱尔获得了
选项：
（一）蓝球
(B) 红球
(C) 黄球",(C)
"爱丽丝、鲍勃和克莱尔是广场舞的舞者。在歌曲开始时，他们每个人都有一个舞伴：爱丽丝与奥菲莉亚跳舞，鲍勃与杰米跳舞，克莱尔与罗德里戈跳舞。
在整首歌中，舞者经常交换舞伴。首先，鲍勃和克莱尔交换伙伴。然后，爱丽丝和鲍勃交换了伙伴。最后，鲍勃和克莱尔交换了伙伴。舞蹈结束时，鲍勃与
选项：
(A) 奥菲莉亚
(B) 杰米
(C) 罗德里戈",(B)
"爱丽丝、鲍勃和克莱尔是朋友，也是狂热的读者，偶尔会交换书籍。学期开始时，他们每人买一本新书：爱丽丝买了《弗兰肯斯坦》，鲍勃买了《白鲸》，克莱尔买了《指环王》。
随着学期的进行，他们开始围绕新书进行交易。首先，爱丽丝和鲍勃交换书籍。然后，克莱尔和爱丽丝交换书籍。最后，鲍勃和克莱尔交换了书籍。学期结束时，鲍勃
选项：
(A) 弗兰肯斯坦
(B)莫比迪克
(C) 魔戒远征队",(B)
"爱丽丝、鲍勃和克莱尔在一场足球比赛中属于同一支球队。比赛开始时，他们各自被分配到一个位置：爱丽丝扮演守门员，鲍勃扮演左边锋，克莱尔扮演中前卫。
随着游戏的进行，成对的玩家偶尔会交换位置。首先，克莱尔和鲍勃交换头寸。然后，爱丽丝和鲍勃交易头寸。最后，克莱尔和爱丽丝交换了立场。比赛结束时，爱丽丝正在比赛
选项：
（一）守门员
(B) 左边锋
(C) 中场",(B)
"爱丽丝、鲍勃和克莱尔在一场足球比赛中属于同一支球队。比赛开始时，他们各自被分配到一个位置：爱丽丝扮演啦啦队长，鲍勃扮演右边锋，克莱尔扮演替补。
随着游戏的进行，成对的玩家偶尔会交换位置。首先，爱丽丝和克莱尔交换头寸。然后，鲍勃和克莱尔交换头寸。最后，爱丽丝和鲍勃交易头寸。比赛结束时，爱丽丝正在比赛
选项：
（一）啦啦队长
(B) 右翼
(C) 替补队员",(A)
"爱丽丝、鲍勃和克莱尔是朋友，也是狂热的读者，偶尔会交换书籍。学期开始时，他们每人买一本新书：爱丽丝买了《了不起的盖茨比》，鲍勃买了《弗兰肯斯坦》，克莱尔买了《尤利西斯》。
随着学期的进行，他们开始围绕新书进行交易。首先，爱丽丝和克莱尔交换书籍。然后，鲍勃和克莱尔交换书籍。最后，克莱尔和爱丽丝交换了书籍。学期结束时，爱丽丝
选项：
（一）了不起的盖茨比
(B) 弗兰肯斯坦
(C) 尤利西斯",(B)
"爱丽丝、鲍勃和克莱尔是广场舞的舞者。在歌曲开始时，他们每个人都有一个舞伴：爱丽丝与奥菲莉亚跳舞，鲍勃与洛拉跳舞，克莱尔与伊兹跳舞。
在整首歌中，舞者经常交换舞伴。首先，鲍勃和克莱尔交换伙伴。然后，克莱尔和爱丽丝交换了伙伴。最后，爱丽丝和鲍勃交换了伙伴。舞蹈结束时，爱丽丝与
选项：
(A) 奥菲莉亚
(B) 萝拉
(C) 伊兹",(C)
"爱丽丝、鲍勃和克莱尔在一场足球比赛中属于同一支球队。比赛开始时，他们各自被分配到一个位置：爱丽丝踢右前卫，鲍勃踢中前卫，克莱尔踢前锋。
随着游戏的进行，成对的玩家偶尔会交换位置。首先，Alice 和 Bob 交易头寸。然后，爱丽丝和克莱尔交换头寸。最后，鲍勃和克莱尔交换头寸。比赛结束时，克莱尔上场
选项：
(A) 右中场
(B) 中场
（三）前锋",(A)
"爱丽丝、鲍勃和克莱尔是广场舞的舞者。在歌曲开始时，他们每个人都有一个舞伴：爱丽丝与赫尔加跳舞，鲍勃与帕特里克跳舞，克莱尔与山姆跳舞。
在整首歌中，舞者经常交换舞伴。首先，克莱尔和爱丽丝交换了伙伴。然后，克莱尔和鲍勃交换了伙伴。最后，爱丽丝和鲍勃交换了伙伴。舞蹈结束时，爱丽丝与
选项：
(A) 赫尔加
(B) 帕特里克
(C) 萨姆",(A)
"爱丽丝、鲍勃和克莱尔正在玩游戏。游戏开始时，他们每个人都拿着一个球：爱丽丝有一个紫色的球，鲍勃有一个黄色的球，克莱尔有一个橙色的球。
随着比赛的进行，两对球员交换球。首先，克莱尔和鲍勃交换球。然后，鲍勃和爱丽丝交换球。最后，克莱尔和鲍勃交换了球。游戏结束后，克莱尔获得了
选项：
（一）紫色球
(B) 黄球
(C) 橙色球",(A)
"爱丽丝、鲍勃和克莱尔是朋友，也是狂热的读者，偶尔会交换书籍。学期开始时，他们每人买一本新书：爱丽丝买了《弗兰肯斯坦》，鲍勃买了《了不起的盖茨比》，克莱尔买了《尤利西斯》。
随着学期的进行，他们开始围绕新书进行交易。首先，爱丽丝和鲍勃交换书籍。然后，克莱尔和鲍勃交换书籍。最后，鲍勃和爱丽丝交换了书。学期结束时，爱丽丝
选项：
(A) 弗兰肯斯坦
(B) 了不起的盖茨比
(C) 尤利西斯",(C)
"爱丽丝、鲍勃和克莱尔是朋友，也是狂热的读者，偶尔会交换书籍。学期开始时，他们每人买一本新书：爱丽丝买了《弗兰肯斯坦》，鲍勃买了《珍珠》，克莱尔买了《指环王》。
随着学期的进行，他们开始围绕新书进行交易。首先，鲍勃和克莱尔交换书籍。然后，鲍勃和爱丽丝交换书籍。最后，克莱尔和爱丽丝交换了书籍。学期结束时，鲍勃
选项：
(A) 弗兰肯斯坦
(B) 珍珠
(C) 魔戒远征队",(A)
"爱丽丝、鲍勃和克莱尔正在举行一场白象礼物交换活动。活动开始时，他们每个人都拿着一份不同颜色的礼物：爱丽丝有一个粉红色的球，鲍勃有一个橙色的球，克莱尔有一个白色的礼物。
随着活动的进行，人们会交换礼物。首先，鲍勃和克莱尔交换礼物。然后，爱丽丝和克莱尔交换了礼物。最后，鲍勃和克莱尔交换了礼物。活动结束时，鲍勃获得了
选项：
(A) 粉色球
(B) 橙色球
(C) 白色礼物",(A)
"爱丽丝、鲍勃和克莱尔正在举行一场白象礼物交换活动。活动开始时，他们每个人都拿着一份不同颜色的礼物：爱丽丝有一个粉红色的球，鲍勃有一个白色的礼物，克莱尔有一个蓝色的礼物。
随着活动的进行，人们会交换礼物。首先，鲍勃和克莱尔交换礼物。然后，克莱尔和爱丽丝交换了礼物。最后，克莱尔和鲍勃交换了礼物。活动结束时，爱丽丝拥有
选项：
(A) 粉色球
(B) 白色礼物
(C) 蓝色礼物",(B)
"爱丽丝、鲍勃和克莱尔是朋友，也是狂热的读者，偶尔会交换书籍。学期开始时，他们每人买一本新书：爱丽丝买了《弗兰肯斯坦》，鲍勃买了《了不起的盖茨比》，克莱尔买了《尤利西斯》。
随着学期的进行，他们开始围绕新书进行交易。首先，爱丽丝和鲍勃交换书籍。然后，克莱尔和鲍勃交换书籍。最后，鲍勃和爱丽丝交换了书。学期结束时，克莱尔
选项：
(A) 弗兰肯斯坦
(B) 了不起的盖茨比
(C) 尤利西斯",(A)
"爱丽丝、鲍勃和克莱尔是广场舞的舞者。在歌曲开始时，他们每个人都有一个舞伴：爱丽丝与卡尔跳舞，鲍勃与罗德里戈跳舞，克莱尔与帕特里克跳舞。
在整首歌中，舞者经常交换舞伴。首先，克莱尔和爱丽丝交换了伙伴。然后，鲍勃和爱丽丝交换了伙伴。最后，爱丽丝和克莱尔交换了伙伴。舞蹈结束时，克莱尔与
选项：
（一）卡尔
(B) 罗德里戈
(C) 帕特里克",(B)
"爱丽丝、鲍勃和克莱尔正在举行一场白象礼物交换活动。活动开始时，他们每个人都拿着一份不同颜色的礼物：爱丽丝有黄色礼物，鲍勃有橙色球，克莱尔有绿色礼物。
随着活动的进行，人们会交换礼物。首先，克莱尔和鲍勃交换礼物。然后，爱丽丝和克莱尔交换了礼物。最后，鲍勃和爱丽丝交换了礼物。活动结束时，爱丽丝拥有
选项：
(A) 黄色礼物
(B) 橙色球
（三）绿色礼物",(C)
"爱丽丝、鲍勃和克莱尔是广场舞的舞者。在歌曲开始时，他们每个人都有一个舞伴：爱丽丝与杰米跳舞，鲍勃与帕特里克跳舞，克莱尔与梅丽莎跳舞。
在整首歌中，舞者经常交换舞伴。首先，克莱尔和鲍勃交换了伙伴。然后，鲍勃和爱丽丝交换了伙伴。最后，爱丽丝和克莱尔交换了伙伴。舞蹈结束时，克莱尔与
选项：
（一）杰米
(B) 帕特里克
(C)梅丽莎",(C)
"爱丽丝、鲍勃和克莱尔是广场舞的舞者。在歌曲开始时，他们每个人都有一个舞伴：爱丽丝与罗德里戈跳舞，鲍勃与山姆跳舞，克莱尔与洛拉跳舞。
在整首歌中，舞者经常交换舞伴。首先，克莱尔和鲍勃交换了伙伴。然后，鲍勃和爱丽丝交换了伙伴。最后，克莱尔和爱丽丝交换了伙伴。舞蹈结束时，克莱尔与
选项：
(A) 罗德里戈
(B) 萨姆
(C) 萝拉",(C)
"爱丽丝、鲍勃和克莱尔正在举行一场白象礼物交换活动。活动开始时，他们每个人都拿着一份不同颜色的礼物：爱丽丝有一份白色礼物，鲍勃有一个粉红色的球，克莱尔有一个黑色的球。
随着活动的进行，人们会交换礼物。首先，爱丽丝和克莱尔交换礼物。然后，爱丽丝和鲍勃交换了他们的礼物。最后，克莱尔和爱丽丝交换了礼物。活动结束后，克莱尔获得了
选项：
(A) 白色礼物
(B) 粉色球
（三）黑球",(B)
"爱丽丝、鲍勃和克莱尔是朋友，也是狂热的读者，偶尔会交换书籍。学期开始时，他们每人买一本新书：爱丽丝买了《巴斯克维尔猎犬》，鲍勃买了《弗兰肯斯坦》，克莱尔买了《奥德赛》。
随着学期的进行，他们开始围绕新书进行交易。首先，鲍勃和克莱尔交换书籍。然后，爱丽丝和鲍勃交换书。最后，爱丽丝和克莱尔交换了书籍。学期结束时，爱丽丝
选项：
(A) 巴斯克维尔猎犬
(B) 弗兰肯斯坦
(C) 奥德赛",(B)
"爱丽丝、鲍勃和克莱尔正在玩游戏。游戏开始时，他们每人拿着一个球：爱丽丝有一个黄色的球，鲍勃有一个紫色的球，克莱尔有一个蓝色的球。
随着比赛的进行，两对球员交换球。首先，爱丽丝和克莱尔交换球。然后，鲍勃和克莱尔交换球。最后，爱丽丝和克莱尔交换了球。游戏结束时，爱丽丝得到了
选项：
（一）黄球
(B) 紫色球
(C) 蓝球",(B)
"爱丽丝、鲍勃和克莱尔正在玩游戏。游戏开始时，他们每个人都拿着一个球：爱丽丝有一个粉红色的球，鲍勃有一个黄色的球，克莱尔有一个白色的球。
随着比赛的进行，两对球员交换球。首先，克莱尔和鲍勃交换球。然后，爱丽丝和鲍勃交换球。最后，克莱尔和鲍勃交换了球。游戏结束时，爱丽丝得到了
选项：
(A) 粉色球
(B) 黄球
（三）白球",(C)
"爱丽丝、鲍勃和克莱尔正在举行一场白象礼物交换活动。活动开始时，他们每个人都拿着一份不同颜色的礼物：爱丽丝有一个橙色的球，鲍勃有一个紫色的礼物，克莱尔有一个蓝色的礼物。
随着活动的进行，人们会交换礼物。首先，克莱尔和鲍勃交换礼物。然后，克莱尔和爱丽丝交换了礼物。最后，鲍勃和爱丽丝交换了礼物。活动结束时，爱丽丝拥有
选项：
（一）橙色球
(B) 紫色礼物
(C) 蓝色礼物",(C)
"爱丽丝、鲍勃和克莱尔正在玩游戏。游戏开始时，他们每个人都拿着一个球：爱丽丝有一个粉红色的球，鲍勃有一个棕色的球，克莱尔有一个橙色的球。
随着比赛的进行，两对球员交换球。首先，克莱尔和爱丽丝交换球。然后，爱丽丝和鲍勃交换球。最后，鲍勃和克莱尔交换了球。游戏结束时，爱丽丝得到了
选项：
(A) 粉色球
(B) 棕色球
(C) 橙色球",(B)
"爱丽丝、鲍勃和克莱尔是广场舞的舞者。在歌曲开始时，他们每个人都有一个舞伴：爱丽丝与洛拉跳舞，鲍勃与帕特里克跳舞，克莱尔与梅丽莎跳舞。
在整首歌中，舞者经常交换舞伴。首先，爱丽丝和克莱尔交换了伙伴。然后，鲍勃和克莱尔交换了伙伴。最后，克莱尔和爱丽丝交换了伙伴。舞蹈结束时，鲍勃与
选项：
(A) 萝拉
(B) 帕特里克
(C)梅丽莎",(A)
"爱丽丝、鲍勃和克莱尔正在举行一场白象礼物交换活动。活动开始时，他们每个人都拿着一份不同颜色的礼物：爱丽丝有一份蓝色礼物，鲍勃有一份红色礼物，克莱尔有一份绿色礼物。
随着活动的进行，人们会交换礼物。首先，爱丽丝和鲍勃交换礼物。然后，克莱尔和鲍勃交换礼物。最后，爱丽丝和克莱尔交换了礼物。活动结束后，克莱尔获得了
选项：
(A) 蓝色礼物
(B) 红色礼物
（三）绿色礼物",(B)
"爱丽丝、鲍勃和克莱尔在一场足球比赛中属于同一支球队。比赛开始时，他们各自被分配到一个位置：爱丽丝扮演后卫，鲍勃扮演守门员，克莱尔扮演右边锋。
随着游戏的进行，成对的玩家偶尔会交换位置。首先，克莱尔和鲍勃交换头寸。然后，爱丽丝和克莱尔交换头寸。最后，爱丽丝和鲍勃交易头寸。比赛结束时，克莱尔上场
选项：
(A) 后卫
（二）守门员
(C) 右边锋",(A)
"爱丽丝、鲍勃和克莱尔在一场足球比赛中属于同一支球队。比赛开始时，他们各自被分配到一个位置：爱丽丝扮演啦啦队长，鲍勃扮演替补，克莱尔扮演左边锋。
随着游戏的进行，成对的玩家偶尔会交换位置。首先，克莱尔和鲍勃交换头寸。然后，克莱尔和爱丽丝交换头寸。最后，克莱尔和鲍勃交换头寸。比赛结束时，克莱尔上场
选项：
（一）啦啦队长
(B) 替补队员
(C) 左边锋",(C)
"爱丽丝、鲍勃和克莱尔正在玩游戏。游戏开始时，他们每个人都拿着一个球：爱丽丝有一个黄色的球，鲍勃有一个绿色的球，克莱尔有一个蓝色的球。
随着比赛的进行，两对球员交换球。首先，爱丽丝和鲍勃交换球。然后，爱丽丝和克莱尔交换球。最后，克莱尔和鲍勃交换了球。游戏结束时，鲍勃得到了
选项：
（一）黄球
(B) 绿球
(C) 蓝球",(B)
"爱丽丝、鲍勃和克莱尔是朋友，也是狂热的读者，偶尔会交换书籍。学期开始时，他们每人买一本新书：爱丽丝买了《第二十二条军规》，鲍勃买了《白鲸》，克莱尔买了《了不起的盖茨比》。
随着学期的进行，他们开始围绕新书进行交易。首先，克莱尔和鲍勃交换书籍。然后，克莱尔和爱丽丝交换书籍。最后，鲍勃和克莱尔交换了书籍。学期结束时，克莱尔
选项：
(A) 第 22 条军规
(B)莫比迪克
(C) 了不起的盖茨比",(C)
"爱丽丝、鲍勃和克莱尔正在举行一场白象礼物交换活动。活动开始时，他们每个人都拿着一份不同颜色的礼物：爱丽丝有一个黑色的球，鲍勃有一个紫色的礼物，克莱尔有一个蓝色的礼物。
随着活动的进行，人们会交换礼物。首先，克莱尔和爱丽丝交换礼物。然后，鲍勃和克莱尔交换了礼物。最后，爱丽丝和鲍勃交换了礼物。活动结束后，克莱尔获得了
选项：
（一）黑球
(B) 紫色礼物
(C) 蓝色礼物",(B)
"爱丽丝、鲍勃和克莱尔正在举行一场白象礼物交换活动。活动开始时，他们每个人都拿着一份不同颜色的礼物：爱丽丝有一份白色礼物，鲍勃有一份蓝色礼物，克莱尔有一个粉红色的球。
随着活动的进行，人们会交换礼物。首先，爱丽丝和克莱尔交换礼物。然后，克莱尔和鲍勃交换礼物。最后，鲍勃和爱丽丝交换了礼物。活动结束时，鲍勃获得了
选项：
(A) 白色礼物
(B) 蓝色礼物
(C) 粉色球",(C)
"爱丽丝、鲍勃和克莱尔是朋友，也是狂热的读者，偶尔会交换书籍。学期开始时，他们每人买一本新书：爱丽丝买了《弗兰肯斯坦》，鲍勃买了《奥德赛》，克莱尔买了《了不起的盖茨比》。
随着学期的进行，他们开始围绕新书进行交易。首先，爱丽丝和克莱尔交换书籍。然后，爱丽丝和鲍勃交换书。最后，爱丽丝和克莱尔交换了书籍。学期结束时，克莱尔
选项：
(A) 弗兰肯斯坦
(B) 奥德赛
(C) 了不起的盖茨比",(B)
"爱丽丝、鲍勃和克莱尔在一场足球比赛中属于同一支球队。比赛开始时，他们各自被分配到一个位置：爱丽丝踢左中场，鲍勃踢右中场，克莱尔踢守门员。
随着游戏的进行，成对的玩家偶尔会交换位置。首先，鲍勃和爱丽丝交易头寸。然后，爱丽丝和克莱尔交换头寸。最后，鲍勃和爱丽丝交易头寸。比赛结束时，克莱尔上场
选项：
(A) 左中场
(B) 右中场
（三）守门员",(B)
"爱丽丝、鲍勃和克莱尔正在举行一场白象礼物交换活动。活动开始时，他们每个人都拿着一份不同颜色的礼物：爱丽丝有一个粉红色的球，鲍勃有一个黑色的球，克莱尔有一个紫色的礼物。
随着活动的进行，人们会交换礼物。首先，鲍勃和克莱尔交换礼物。然后，爱丽丝和克莱尔交换了礼物。最后，克莱尔和鲍勃交换了礼物。活动结束后，克莱尔获得了
选项：
(A) 粉色球
(B) 黑球
(C) 紫色礼物",(C)
"爱丽丝、鲍勃和克莱尔是朋友，也是狂热的读者，偶尔会交换书籍。学期开始时，他们每人买一本新书：爱丽丝买了《指环王》，鲍勃买了《弗兰肯斯坦》，克莱尔买了《了不起的盖茨比》。
随着学期的进行，他们开始围绕新书进行交易。首先，爱丽丝和克莱尔交换书籍。然后，爱丽丝和鲍勃交换书。最后，克莱尔和鲍勃交换了书籍。学期结束时，爱丽丝
选项：
(A) 魔戒远征队
(B) 弗兰肯斯坦
(C) 了不起的盖茨比",(B)
"爱丽丝、鲍勃和克莱尔正在玩游戏。游戏开始时，他们每人拿着一个球：爱丽丝有一个黑球，鲍勃有一个棕色球，克莱尔有一个蓝色球。
随着比赛的进行，两对球员交换球。首先，鲍勃和克莱尔交换球。然后，爱丽丝和鲍勃交换球。最后，克莱尔和鲍勃交换了球。游戏结束后，克莱尔获得了
选项：
（一）黑球
(B) 棕色球
(C) 蓝球",(A)
"爱丽丝、鲍勃和克莱尔正在玩游戏。游戏开始时，他们每个人都拿着一个球：爱丽丝有一个棕色的球，鲍勃有一个蓝色的球，克莱尔有一个紫色的球。
随着比赛的进行，两对球员交换球。首先，鲍勃和爱丽丝交换球。然后，克莱尔和爱丽丝交换球。最后，鲍勃和克莱尔交换了球。游戏结束时，爱丽丝得到了
选项：
(A) 棕色球
(B) 蓝球
(C) 紫色球",(C)
"爱丽丝、鲍勃和克莱尔是朋友，也是狂热的读者，偶尔会交换书籍。学期开始时，他们每人买一本新书：爱丽丝买了《尤利西斯》，鲍勃买了《弗兰肯斯坦》，克莱尔买了《第二十二条军规》。
随着学期的进行，他们开始围绕新书进行交易。首先，鲍勃和克莱尔交换书籍。然后，克莱尔和爱丽丝交换书籍。最后，爱丽丝和鲍勃交换了书。学期结束时，爱丽丝
选项：
(A) 尤利西斯
(B) 弗兰肯斯坦
(C) 第 22 条军规",(C)
"爱丽丝、鲍勃和克莱尔是广场舞的舞者。在歌曲开始时，他们每个人都有一个舞伴：爱丽丝与萨姆跳舞，鲍勃与卡尔跳舞，克莱尔与赫尔加跳舞。
在整首歌中，舞者经常交换舞伴。首先，爱丽丝和克莱尔交换了伙伴。然后，爱丽丝和鲍勃交换了伙伴。最后，克莱尔和鲍勃交换了伙伴。舞蹈结束时，爱丽丝与
选项：
（一）萨姆
(B)卡尔
(C) 赫尔加",(B)
"爱丽丝、鲍勃和克莱尔正在玩游戏。游戏开始时，他们每人拿着一个球：爱丽丝有一个黑球，鲍勃有一个棕色球，克莱尔有一个蓝色球。
随着比赛的进行，两对球员交换球。首先，鲍勃和克莱尔交换球。然后，爱丽丝和鲍勃交换球。最后，克莱尔和爱丽丝交换了球。游戏结束后，克莱尔获得了
选项：
（一）黑球
(B) 棕色球
(C) 蓝球",(C)
"爱丽丝、鲍勃和克莱尔在一场足球比赛中属于同一支球队。比赛开始时，他们各自被分配到一个位置：爱丽丝扮演前锋，鲍勃扮演替补，克莱尔扮演中前卫。
随着游戏的进行，成对的玩家偶尔会交换位置。首先，Alice 和 Bob 交易头寸。然后，爱丽丝和克莱尔交换头寸。最后，克莱尔和鲍勃交换头寸。比赛结束时，克莱尔上场
选项：
（一）前锋
(B) 替补队员
(C) 中场",(A)
"爱丽丝、鲍勃和克莱尔正在玩游戏。游戏开始时，他们每个人都拿着一个球：爱丽丝有一个黄色的球，鲍勃有一个蓝色的球，克莱尔有一个粉红色的球。
随着比赛的进行，两对球员交换球。首先，克莱尔和爱丽丝交换球。然后，爱丽丝和鲍勃交换球。最后，克莱尔和鲍勃交换了球。游戏结束时，爱丽丝得到了
选项：
（一）黄球
(B) 蓝球
(C) 粉色球",(B)
